"","user.id","user.name","user.profilePic","user.profileUrl","pageName","postId","viewsCount","time","link","text","likes","url","partyname"
"1",100044269772204,"מפלגת הליכוד","https://scontent.fpoj9-1.fna.fbcdn.net/v/t39.30808-1/274339135_494010088751313_8817560597747044103_n.jpg?stp=cp0_dst-jpg_s40x40_tt6&_nc_cat=108&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=7YoyJ5YRtsUQ7kNvwFZ5diS&_nc_oc=AdnP-M5z0bgtWeF1AH1clsCGiVwOKPlyj66txdTgmzfcYxMsnNKuRACscKdfSAL6uIs&_nc_zt=24&_nc_ht=scontent.fpoj9-1.fna&_nc_gid=MeF4TEIqkFo--ygSHqtOVg&oh=00_AfHfm-j2bSFyh09-TOda0xW8RY8LtJrns5YPmTJ6VT2IHg&oe=68105207","https://www.facebook.com/Likudofficial","Likudofficial",2548960401816574,3660,"2019-09-16T15:32:43.000Z","","השרה מירי רגב עונה לשאלות שלכם עכשיו בשידור חי מאריאל",271,"https://www.facebook.com/Likudofficial/videos/2548960401816574/","The Consolidation"
"2",100044269772204,"מפלגת הליכוד","https://scontent.fpoj9-1.fna.fbcdn.net/v/t39.30808-1/274339135_494010088751313_8817560597747044103_n.jpg?stp=cp0_dst-jpg_s40x40_tt6&_nc_cat=108&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=7YoyJ5YRtsUQ7kNvwFZ5diS&_nc_oc=AdnP-M5z0bgtWeF1AH1clsCGiVwOKPlyj66txdTgmzfcYxMsnNKuRACscKdfSAL6uIs&_nc_zt=24&_nc_ht=scontent.fpoj9-1.fna&_nc_gid=MeF4TEIqkFo--ygSHqtOVg&oh=00_AfHfm-j2bSFyh09-TOda0xW8RY8LtJrns5YPmTJ6VT2IHg&oe=68105207","https://www.facebook.com/Likudofficial","Likudofficial",2505526086170705,NA,"2019-09-16T11:41:33.000Z","","ביום הבחירות מחר תהיו שחר! 
הורידו את התמונות ושתפו בקבוצות הוואטסאפ וברשתות החברתיות 🇮🇱",233,"https://www.facebook.com/Likudofficial/posts/pfbid02oVWZrnKcX18GS6BLvpwWek4oSkKNeGxEnbH3vJmZ4JaoHvswYAgXEpp1tCGBQysLl","The Consolidation"
"3",100044269772204,"מפלגת הליכוד","https://scontent.fpoj9-1.fna.fbcdn.net/v/t39.30808-1/274339135_494010088751313_8817560597747044103_n.jpg?stp=cp0_dst-jpg_s40x40_tt6&_nc_cat=108&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=7YoyJ5YRtsUQ7kNvwFZ5diS&_nc_oc=AdnP-M5z0bgtWeF1AH1clsCGiVwOKPlyj66txdTgmzfcYxMsnNKuRACscKdfSAL6uIs&_nc_zt=24&_nc_ht=scontent.fpoj9-1.fna&_nc_gid=MeF4TEIqkFo--ygSHqtOVg&oh=00_AfHfm-j2bSFyh09-TOda0xW8RY8LtJrns5YPmTJ6VT2IHg&oe=68105207","https://www.facebook.com/Likudofficial","Likudofficial",2505445909512056,11809,"2019-09-16T10:41:55.000Z","","ראש הממשלה נתניהו הביא ברית הגנה עם ארה״ב. חייבים להצביע מחל כדי לחזק את ישראל!",625,"https://www.facebook.com/Likudofficial/videos/390435714952705/","The Consolidation"
"4",100044313345755,"ישראל ביתנו","https://scontent-gru1-1.xx.fbcdn.net/v/t39.30808-1/342659226_1417965558936795_6049159103379916098_n.jpg?stp=cp0_dst-jpg_s40x40_tt6&_nc_cat=104&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=Jc-abFTVdtAQ7kNvwFvF-5L&_nc_oc=AdmixRPe_FcDBlH_09xROc8Tp8fcnzxn4cg-H8DROcopfiXQwrzDCswdJh-WkqKU_Sc&_nc_zt=24&_nc_ht=scontent-gru1-1.xx&_nc_gid=uboRjjPPd6OBfX86pFwyTw&oh=00_AfGa84DDNk3wbNGiUgbcQkaA-FROhGS9rHegqF1e4gyGvw&oe=68104939","https://www.facebook.com/beytenu","beytenu",2682143915151564,NA,"2019-09-16T21:06:45.000Z","","צאו להצביע!",24,"https://www.facebook.com/beytenu/posts/pfbid02tjYwb1WB6mD11k52kFw391H6awzW7jug1SRS7sHgX6R9vpDXKA6hWdVVdLRjYZfdl","Israel is Our Home"
"5",100044313345755,"ישראל ביתנו","https://scontent-gru1-1.xx.fbcdn.net/v/t39.30808-1/342659226_1417965558936795_6049159103379916098_n.jpg?stp=cp0_dst-jpg_s40x40_tt6&_nc_cat=104&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=Jc-abFTVdtAQ7kNvwFvF-5L&_nc_oc=AdmixRPe_FcDBlH_09xROc8Tp8fcnzxn4cg-H8DROcopfiXQwrzDCswdJh-WkqKU_Sc&_nc_zt=24&_nc_ht=scontent-gru1-1.xx&_nc_gid=uboRjjPPd6OBfX86pFwyTw&oh=00_AfGa84DDNk3wbNGiUgbcQkaA-FROhGS9rHegqF1e4gyGvw&oe=68104939","https://www.facebook.com/beytenu","beytenu",2682117865154169,NA,"2019-09-16T20:46:30.000Z","","#הכר_את_המועמד

מי:
ח""כ אלי אבידר - מס' 4 ברשימת ""ישראל ביתנו"". 

תחום עיסוק:
חבר כנסת בכנסת ה-21, סופר וטבעוני אדוק. שירת בצה""ל ביחידת המודיעין 504 והוא רס""ן במילואים.

עשייה:
איש שירות החוץ בעברו אשר שירת כראש נציגות ישראל בקטאר. כיהן בעבר כמנכ""ל הבורסה הישראלית ליהלומים, נשיא לשכת המסחר ישראל - אפריקה, נשיא חברת דינדקס בע""מ ועוד. מחבר הספרים ""התהום"" על הסכסוך הישראלי-ערבי, ו""יקטוס"", רומן היסטורי על מנהיגות.

דבר המועמד:
""בדרכו של ראש בית""ר זאב ז'בוטינסקי; אקטיביזם לאומי ליברלי. 
אין ניגוד בין לאומי לליברלי ושליחות ציבורית היא קודם כל עשייה!""",174,"https://www.facebook.com/beytenu/posts/pfbid02DmtHycHNCn8u8dgdy8v4GSmj3Hx72nxs7p58qHXPRNmbhEbmt6uUz76ica6Z7CXbl","Israel is Our Home"
"6",100044313345755,"ישראל ביתנו","https://scontent-gru1-1.xx.fbcdn.net/v/t39.30808-1/342659226_1417965558936795_6049159103379916098_n.jpg?stp=cp0_dst-jpg_s40x40_tt6&_nc_cat=104&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=Jc-abFTVdtAQ7kNvwFvF-5L&_nc_oc=AdmixRPe_FcDBlH_09xROc8Tp8fcnzxn4cg-H8DROcopfiXQwrzDCswdJh-WkqKU_Sc&_nc_zt=24&_nc_ht=scontent-gru1-1.xx&_nc_gid=uboRjjPPd6OBfX86pFwyTw&oh=00_AfGa84DDNk3wbNGiUgbcQkaA-FROhGS9rHegqF1e4gyGvw&oe=68104939","https://www.facebook.com/beytenu","beytenu",2682024761830146,NA,"2019-09-16T19:35:43.000Z","","#הכר_את_המועמד

מי:
פרופ׳ ליאוניד אידלמן, מועמד מקצועי לתפקיד שר הבריאות מטעם ״ישראל ביתנו״. 

תחום עיסוק:
נשיא הסתדרות הרופאים העולמית, מנהל מחלקת הרדמה בבי״ח בילינסון וראש חוג בפקולטה לרפואה באוניברסיטת תל אביב. 

עשייה:
רופא בעל ניסיון עשיר, מומחה להרדמה וטיפול נמרץ. נמצא כ-50 שנה במערכות בריאות שונות. עמד בראשות הסתדרות הרופאים בישראל בין השנים 2009-2018, שם הוביל וקידם מהלכים למען עובדי מערכת הבריאות ולמען המערכת כולה.

דבר המועמד:
""מערכת הבריאות במדינת ישראל קורסת בהובלת משרד הבריאות אשר חדל מלתפקד כמשרד מקצועי.  החולים ממתינים בתורים ארוכים, מאושפזים במסדרונות וסובלים יום יום, שעה שעה. 
זוהי קריאת השכמה למערכת הבריאות! אני מתחייב למהפכה שתשנה את המצב לטובת החולים והבריאים כאחד.",482,"https://www.facebook.com/beytenu/posts/pfbid0MA6hRVVqmnpMr3GR7UyVzuJiePxBykgod4Lm4WG4ySiPioy92bDheJPnAMKqmh4ql","Israel is Our Home"
"7",100044118129877,"מפלגת כחול לבן","https://scontent.fjdo1-1.fna.fbcdn.net/v/t39.30808-1/314885479_669840467829885_8308584856661007730_n.jpg?stp=cp0_dst-jpg_s40x40_tt6&_nc_cat=111&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=RXLldU_MmQsQ7kNvwEkrd9N&_nc_oc=AdnpGcnTrGN0nPenCWlNBYlMagN1P12nkU_31PX37V2H7YW7xif5kldGdB3vw2u9xn4&_nc_zt=24&_nc_ht=scontent.fjdo1-1.fna&_nc_gid=94pdHiMse6dFKkE30DL1Yg&oh=00_AfF3QDre_FXxS5gSlKDgEb4XfXG9pjqbIgnSNHRhiJPu6w&oe=68104F51","https://www.facebook.com/kachollavan19","kachollavan19",425331195008116,21058,"2019-09-16T13:54:29.000Z","http://bit.ly/digitalkl","אמהות יקרות, אתן חייבות לצאת להצביע. זה בשביל העתיד של הילדים שלנו!",869,"https://www.facebook.com/kachollavan19/videos/489944451839416/","Blue and White"
"8",100044118129877,"מפלגת כחול לבן","https://scontent.fjdo1-1.fna.fbcdn.net/v/t39.30808-1/314885479_669840467829885_8308584856661007730_n.jpg?stp=cp0_dst-jpg_s40x40_tt6&_nc_cat=111&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=RXLldU_MmQsQ7kNvwEkrd9N&_nc_oc=AdnpGcnTrGN0nPenCWlNBYlMagN1P12nkU_31PX37V2H7YW7xif5kldGdB3vw2u9xn4&_nc_zt=24&_nc_ht=scontent.fjdo1-1.fna&_nc_gid=94pdHiMse6dFKkE30DL1Yg&oh=00_AfF3QDre_FXxS5gSlKDgEb4XfXG9pjqbIgnSNHRhiJPu6w&oe=68104F51","https://www.facebook.com/kachollavan19","kachollavan19",425195021688400,NA,"2019-09-16T09:30:15.000Z","","בני גנץ: ״יש שני תחומים שהם החשובים ביותר במדינת ישראל - ביטחון וחינוך. לכן, החלטתי לייעד את גבי אשכנזי, רמטכ""ל צה""ל, איש גולני ומי ששיקם את צה""ל אחרי מלחמת לבנון השניה, לתפקיד שר הביטחון. גבי ידע להחזיר את ההרתעה ואת תחושת הביטחון לאזרחי ישראל בדרום, בעוטף עזה, בצפון ובכל מקום בישראל.
את הרמטכ״ל לשעבר ושר הביטחון, משה יעלון, מגדלור של מוסר וערכים, ומי שיודע לחבר את כל חלקי החברה הישראלית, אני מייעד לתפקיד שר החינוך שיאחה את הקרעים בחברה הישראלית.
עכשיו רק צריך לבחור- ממשלת חסינות קיצונית או ממשלת אחדות חילונית״.

בני גנץ - Benny Gantz
גבי אשכנזי - Gabi Ashkenazi
משה (בוגי) יעלון - Moshe (Bogie) Ya'alon",1062,"https://www.facebook.com/kachollavan19/posts/pfbid02atZrkKt2wVU5uPsbvQ1zNxxKNiFHcUpVX4SVZFVWukmprytjghWXC2aPZxXEVYRTl","Blue and White"
"9",100044118129877,"מפלגת כחול לבן","https://scontent.fjdo1-1.fna.fbcdn.net/v/t39.30808-1/314885479_669840467829885_8308584856661007730_n.jpg?stp=cp0_dst-jpg_s40x40_tt6&_nc_cat=111&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=RXLldU_MmQsQ7kNvwEkrd9N&_nc_oc=AdnpGcnTrGN0nPenCWlNBYlMagN1P12nkU_31PX37V2H7YW7xif5kldGdB3vw2u9xn4&_nc_zt=24&_nc_ht=scontent.fjdo1-1.fna&_nc_gid=94pdHiMse6dFKkE30DL1Yg&oh=00_AfF3QDre_FXxS5gSlKDgEb4XfXG9pjqbIgnSNHRhiJPu6w&oe=68104F51","https://www.facebook.com/kachollavan19","kachollavan19",425132041694698,NA,"2019-09-16T06:38:45.000Z","","קחו מפלגת הליכוד, תיקנו לכם.",775,"https://www.facebook.com/kachollavan19/posts/pfbid0SMxPVfauncVinstvFqBydPbMAacUbzXXcgH9fdThyrTPDJapRfW8RuXrNVafCUHTl","Blue and White"
"10",100044269772204,"מפלגת הליכוד","https://scontent-lhr8-1.xx.fbcdn.net/v/t39.30808-1/274339135_494010088751313_8817560597747044103_n.jpg?stp=cp0_dst-jpg_s40x40_tt6&_nc_cat=108&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=7YoyJ5YRtsUQ7kNvwFV4dFT&_nc_oc=AdlfJlPB0HkYzfw-J8REOqs4pV1XnOma9jmkKQyw4LubiXXXKyLmo89ZGgykBtvp8fU&_nc_zt=24&_nc_ht=scontent-lhr8-1.xx&_nc_gid=WZ57n-7emcrfrcmV-HRmig&oh=00_AfEYG0rido6OBuvrglxfhVH41iOnlOR12VGbE_P8TuG2CA&oe=68105207","https://www.facebook.com/Likudofficial","Likudofficial",2505209289535718,NA,"2019-09-16T07:39:33.000Z","","כרגע על פי כל הסקרים והתחזיות נפסיד את הבחירות ביום שלישי. כל מצביעי הימין חייבים לצאת להצביע מחל! שתפו את התמונות שכאן עם החברים והמשפחה בקבוצות הוואטסאפ>>",615,"https://www.facebook.com/Likudofficial/posts/2505209289535718","The Consolidation"
